px,py,rho_p
0,0,1.1133514839e-04
0,1,1.1113596903e-04
0,2,1.1071588692e-04
0,3,1.1002967730e-04
0,4,1.0900488092e-04
0,5,1.0753574279e-04
0,6,1.0547421971e-04
0,7,1.0261717168e-04
0,8,9.8688511564e-05
0,9,9.3314704982e-05
0,10,8.5991667097e-05
0,11,7.6041023208e-05
0,12,6.2554445185e-05
0,13,4.4327596048e-05
0,14,1.9792706601e-05
0,15,-1.3024116952e-05
0,16,-5.6460141079e-05
0,17,-1.1296615951e-04
0,18,-1.8444445163e-04
0,19,-2.7092079958e-04
0,20,-3.6846795157e-04
0,21,-4.6700916893e-04
0,22,-5.4992974788e-04
0,23,-5.9806016838e-04
0,24,-5.9806016838e-04
0,25,-5.4992974788e-04
0,26,-4.6700916893e-04
0,27,-3.6846795157e-04
0,28,-2.7092079958e-04
0,29,-1.8444445163e-04
0,30,-1.1296615951e-04
0,31,-5.6460141079e-05
0,32,-1.3024116952e-05
0,33,1.9792706601e-05
0,34,4.4327596048e-05
0,35,6.2554445185e-05
0,36,7.6041023208e-05
0,37,8.5991667097e-05
0,38,9.3314704982e-05
0,39,9.8688511564e-05
0,40,1.0261717168e-04
0,41,1.0547421971e-04
0,42,1.0753574279e-04
0,43,1.0900488092e-04
0,44,1.1002967730e-04
0,45,1.1071588692e-04
0,46,1.1113596903e-04
0,47,1.1133514839e-04
1,0,1.1113596903e-04
1,1,1.1093459796e-04
1,2,1.1051004759e-04
1,3,1.0981691749e-04
1,4,1.0878246900e-04
1,5,1.0730054309e-04
1,6,1.0522253675e-04
1,7,1.0234454926e-04
1,8,9.8389468307e-05
1,9,9.2982380509e-05
1,10,8.5617343977e-05
1,11,7.5613478039e-05
1,12,6.2059069709e-05
1,13,4.3745221470e-05
1,14,1.9098076865e-05
1,15,-1.3864206977e-05
1,16,-5.7488818092e-05
1,17,-1.1423783449e-04
1,18,-1.8602386470e-04
1,19,-2.7287650933e-04
1,20,-3.7085577515e-04
1,21,-4.6984298853e-04
1,22,-5.5314665380e-04
1,23,-6.0150275394e-04
1,24,-6.0150275394e-04
1,25,-5.5314665380e-04
1,26,-4.6984298853e-04
1,27,-3.7085577515e-04
1,28,-2.7287650933e-04
1,29,-1.8602386470e-04
1,30,-1.1423783449e-04
1,31,-5.7488818092e-05
1,32,-1.3864206977e-05
1,33,1.9098076865e-05
1,34,4.3745221470e-05
1,35,6.2059069709e-05
1,36,7.5613478039e-05
1,37,8.5617343977e-05
1,38,9.2982380509e-05
1,39,9.8389468307e-05
1,40,1.0234454926e-04
1,41,1.0522253675e-04
1,42,1.0730054309e-04
1,43,1.0878246900e-04
1,44,1.0981691749e-04
1,45,1.1051004759e-04
1,46,1.1093459796e-04
1,47,1.1113596903e-04
2,0,1.1071588692e-04
2,1,1.1051004759e-04
2,2,1.1007638938e-04
2,3,1.0936915692e-04
2,4,1.0831504717e-04
2,5,1.0680708518e-04
2,6,1.0469553747e-04
2,7,1.0177496763e-04
2,8,9.7766193959e-05
2,9,9.2291519935e-05
2,10,8.4841255985e-05
2,11,7.4729464259e-05
2,12,6.1037600431e-05
2,13,4.2547561162e-05
2,14,1.7673198392e-05
